,Species,TREE_ID,Xorig,X,Yorig,Y,Year,logF_current
1,Abies concolor,50120_2_89_6_1_100,40.492307,40.492907,-121.582979,-121.583679,2007,6.070814173
2,Abies concolor,50120_2_89_6_1_100,40.492307,40.493207,-121.582979,-121.583779,2007,6.312659156
3,Abies concolor,50120_2_89_6_1_100,40.492307,40.492607,-121.582979,-121.583679,2017,4.610472513
4,Abies concolor,50120_2_89_6_1_100,40.492307,40.492707,-121.582979,-121.583379,2017,4.923079671
5,Abies concolor,50139_5_51_6_1_504,38.03017,38.03097,-119.243677,-119.244477,2009,4.931748379
6,Abies concolor,50139_5_51_6_1_504,38.03017,38.03057,-119.243677,-119.243777,2009,5.280799961
7,Abies concolor,50139_5_51_6_1_504,38.03017,38.03097,-119.243677,-119.244077,2019,4.561083736
8,Abies concolor,50139_5_51_6_1_504,38.03017,38.03097,-119.243677,-119.244377,2019,5.013246038
9,Abies concolor,50139_5_51_6_1_505,38.03017,38.03107,-119.243677,-119.244477,2009,4.930896388
10,Abies concolor,50139_5_51_6_1_505,38.03017,38.03117,-119.243677,-119.244177,2009,5.27994797
11,Abies concolor,50139_5_51_6_1_505,38.03017,38.03087,-119.243677,-119.243877,2019,4.56016879
12,Abies concolor,50139_5_51_6_1_505,38.03017,38.03077,-119.243677,-119.244377,2019,5.012331092
13,Abies concolor,50139_5_51_6_2_522,38.03017,38.03107,-119.243677,-119.244177,2009,4.930610992
14,Abies concolor,50139_5_51_6_2_522,38.03017,38.03047,-119.243677,-119.243877,2009,5.279662574
15,Abies concolor,50139_5_51_6_2_522,38.03017,38.03107,-119.243677,-119.244377,2019,4.559883394
16,Abies concolor,50139_5_51_6_2_522,38.03017,38.03067,-119.243677,-119.243977,2019,5.012045696
17,Abies concolor,50139_5_51_6_2_526,38.03017,38.03107,-119.243677,-119.243777,2009,4.931895274
18,Abies concolor,50139_5_51_6_2_526,38.03017,38.03067,-119.243677,-119.244377,2009,5.280946856
19,Abies concolor,50139_5_51_6_2_526,38.03017,38.03077,-119.243677,-119.243877,2019,4.561205449
20,Abies concolor,50139_5_51_6_2_526,38.03017,38.03067,-119.243677,-119.244577,2019,5.013367751
21,Abies concolor,50139_5_51_6_2_527,38.03017,38.03117,-119.243677,-119.244077,2009,4.930480885
22,Abies concolor,50139_5_51_6_2_527,38.03017,38.03027,-119.243677,-119.244077,2009,5.279532467
23,Abies concolor,50139_5_51_6_2_527,38.03017,38.03067,-119.243677,-119.244277,2019,4.559753287
24,Abies concolor,50139_5_51_6_2_527,38.03017,38.03107,-119.243677,-119.244077,2019,5.011915589
25,Abies concolor,50139_5_51_6_3_555,38.03017,38.03097,-119.243677,-119.243777,2009,4.931735788
26,Abies concolor,50139_5_51_6_3_555,38.03017,38.03067,-119.243677,-119.244677,2009,5.28078737
27,Abies concolor,50139_5_51_6_3_555,38.03017,38.03047,-119.243677,-119.243777,2019,4.561062751
28,Abies concolor,50139_5_51_6_3_555,38.03017,38.03087,-119.243677,-119.243977,2019,5.013225053
29,Abies concolor,50139_5_51_6_3_557,38.03017,38.03057,-119.243677,-119.243977,2009,4.930434718
30,Abies concolor,50139_5_51_6_3_557,38.03017,38.03097,-119.243677,-119.244377,2009,5.2794863
31,Abies concolor,50139_5_51_6_3_557,38.03017,38.03077,-119.243677,-119.243777,2019,4.55979106
32,Abies concolor,50139_5_51_6_3_557,38.03017,38.03077,-119.243677,-119.244577,2019,5.011953362
33,Abies concolor,50139_5_51_6_4_570,38.03017,38.03037,-119.243677,-119.244477,2009,4.931907865
34,Abies concolor,50139_5_51_6_4_570,38.03017,38.03057,-119.243677,-119.244277,2009,5.280959447
35,Abies concolor,50139_5_51_6_4_570,38.03017,38.03107,-119.243677,-119.244377,2019,4.561239025
36,Abies concolor,50139_5_51_6_4_570,38.03017,38.03107,-119.243677,-119.244677,2019,5.013401327
37,Abies concolor,50139_5_51_6_4_571,38.03017,38.03047,-119.243677,-119.243877,2009,4.93083763
38,Abies concolor,50139_5_51_6_4_571,38.03017,38.03087,-119.243677,-119.243877,2009,5.279889212
39,Abies concolor,50139_5_51_6_4_571,38.03017,38.03067,-119.243677,-119.243877,2019,4.560177184
40,Abies concolor,50139_5_51_6_4_571,38.03017,38.03117,-119.243677,-119.243877,2019,5.012339486
41,Abies concolor,50139_5_51_6_4_572,38.03017,38.03027,-119.243677,-119.244477,2009,4.930732705
42,Abies concolor,50139_5_51_6_4_572,38.03017,38.03057,-119.243677,-119.243777,2009,5.279784287
43,Abies concolor,50139_5_51_6_4_572,38.03017,38.03047,-119.243677,-119.244677,2019,4.560093244
44,Abies concolor,50139_5_51_6_4_572,38.03017,38.03067,-119.243677,-119.244077,2019,5.012255546
45,Abies concolor,50139_5_51_6_4_577,38.03017,38.03097,-119.243677,-119.244377,2009,4.931106238
46,Abies concolor,50139_5_51_6_4_577,38.03017,38.03097,-119.243677,-119.244077,2009,5.28015782
47,Abies concolor,50139_5_51_6_4_577,38.03017,38.03027,-119.243677,-119.243777,2019,4.560525535
48,Abies concolor,50139_5_51_6_4_577,38.03017,38.03057,-119.243677,-119.244177,2019,5.012687837
49,Abies concolor,50139_5_51_6_4_578,38.03017,38.03107,-119.243677,-119.244677,2009,4.930929964
50,Abies concolor,50139_5_51_6_4_578,38.03017,38.03117,-119.243677,-119.244477,2009,5.279981546
51,Abies concolor,50139_5_51_6_4_578,38.03017,38.03107,-119.243677,-119.243977,2019,4.560290503
52,Abies concolor,50139_5_51_6_4_578,38.03017,38.03057,-119.243677,-119.244277,2019,5.012452805
53,Abies concolor,50167_3_91_6_3_369,39.576549,39.577449,-120.787907,-120.788507,2009,4.923164175
54,Abies concolor,50167_3_91_6_3_369,39.576549,39.577349,-120.787907,-120.788207,2009,5.231087582
55,Abies concolor,50167_3_91_6_3_369,39.576549,39.577449,-120.787907,-120.788207,2019,4.961397162
56,Abies concolor,50167_3_91_6_3_369,39.576549,39.577049,-120.787907,-120.788107,2019,5.358558649
57,Abies concolor,50167_3_91_6_3_370,39.576549,39.576849,-120.787907,-120.788307,2009,4.922958522
58,Abies concolor,50167_3_91_6_3_370,39.576549,39.576949,-120.787907,-120.788207,2009,5.230881929
59,Abies concolor,50167_3_91_6_3_370,39.576549,39.576949,-120.787907,-120.788207,2019,4.96116213
60,Abies concolor,50167_3_91_6_3_370,39.576549,39.577549,-120.787907,-120.788407,2019,5.358323617
61,Abies concolor,50167_3_91_6_3_373,39.576549,39.576949,-120.787907,-120.788407,2009,4.92301728
62,Abies concolor,50167_3_91_6_3_373,39.576549,39.577349,-120.787907,-120.788907,2009,5.230940687
63,Abies concolor,50167_3_91_6_3_373,39.576549,39.576749,-120.787907,-120.788207,2019,4.961241873
64,Abies concolor,50167_3_91_6_3_373,39.576549,39.576649,-120.787907,-120.788607,2019,5.35840336
65,Abies concolor,50167_3_91_6_3_377,39.576549,39.577349,-120.787907,-120.788407,2009,4.922035182
66,Abies concolor,50167_3_91_6_3_377,39.576549,39.576849,-120.787907,-120.788107,2009,5.229958589
67,Abies concolor,50167_3_91_6_3_377,39.576549,39.577049,-120.787907,-120.788207,2019,4.960305942
68,Abies concolor,50167_3_91_6_3_377,39.576549,39.577249,-120.787907,-120.788007,2019,5.357467429
69,Abies concolor,50167_3_91_6_3_384,39.576549,39.576849,-120.787907,-120.788407,2009,4.923000492
70,Abies concolor,50167_3_91_6_3_384,39.576549,39.576849,-120.787907,-120.788107,2009,5.230923899
71,Abies concolor,50167_3_91_6_3_384,39.576549,39.577549,-120.787907,-120.788107,2019,4.961199903
72,Abies concolor,50167_3_91_6_3_384,39.576549,39.576949,-120.787907,-120.788607,2019,5.35836139
73,Abies concolor,50167_3_91_6_4_337,39.576549,39.577049,-120.787907,-120.788607,2009,4.922912355
74,Abies concolor,50167_3_91_6_4_337,39.576549,39.577049,-120.787907,-120.788407,2009,5.230835762
75,Abies concolor,50167_3_91_6_4_337,39.576549,39.576649,-120.787907,-120.788407,2019,4.961103372
76,Abies concolor,50167_3_91_6_4_337,39.576549,39.577249,-120.787907,-120.788207,2019,5.358264859
77,Abies concolor,50189_2_105_6_4_135,40.954744,40.954944,-122.752587,-122.753087,2002,5.007594077
78,Abies concolor,50189_2_105_6_4_135,40.954744,40.955144,-122.752587,-122.753387,2002,5.363346214
79,Abies concolor,50189_2_105_6_4_135,40.954744,40.955444,-122.752587,-122.753287,2012,4.862816753
80,Abies concolor,50189_2_105_6_4_135,40.954744,40.955144,-122.752587,-122.753087,2012,5.177333129
81,Abies concolor,50189_2_105_6_4_141,40.954744,40.955344,-122.752587,-122.753287,2002,5.007514334
82,Abies concolor,50189_2_105_6_4_141,40.954744,40.955344,-122.752587,-122.753387,2002,5.363266471
83,Abies concolor,50189_2_105_6_4_141,40.954744,40.955644,-122.752587,-122.752987,2012,4.862707631
84,Abies concolor,50189_2_105_6_4_141,40.954744,40.955544,-122.752587,-122.752687,2012,5.177224007
85,Abies concolor,50206_3_17_6_1_100,38.818547,38.819547,-120.008184,-120.008384,2001,5.27497568
86,Abies concolor,50206_3_17_6_1_100,38.818547,38.819347,-120.008184,-120.008784,2001,5.527035161
87,Abies concolor,50206_3_17_6_1_100,38.818547,38.818847,-120.008184,-120.008684,2011,3.174864669
88,Abies concolor,50206_3_17_6_1_100,38.818547,38.819447,-120.008184,-120.008684,2011,3.548951191
89,Abies concolor,50206_3_17_6_1_100,38.818547,38.819147,-120.008184,-120.009084,2021,5.342487807
90,Abies concolor,50206_3_17_6_1_100,38.818547,38.819547,-120.008184,-120.009084,2021,5.722545047
91,Abies concolor,50206_3_17_6_1_101,38.818547,38.818947,-120.008184,-120.008884,2001,5.275047029
92,Abies concolor,50206_3_17_6_1_101,38.818547,38.819347,-120.008184,-120.008784,2001,5.52710651
93,Abies concolor,50206_3_17_6_1_101,38.818547,38.819047,-120.008184,-120.008384,2011,3.174927624
94,Abies concolor,50206_3_17_6_1_101,38.818547,38.818647,-120.008184,-120.008784,2011,3.549014146
95,Abies concolor,50206_3_17_6_1_101,38.818547,38.819547,-120.008184,-120.008684,2021,5.342550762
96,Abies concolor,50206_3_17_6_1_101,38.818547,38.819547,-120.008184,-120.008784,2021,5.722608002
97,Abies concolor,50206_3_17_6_1_102,38.818547,38.819147,-120.008184,-120.008284,2001,5.274648314
98,Abies concolor,50206_3_17_6_1_102,38.818547,38.819047,-120.008184,-120.008684,2001,5.526707795
99,Abies concolor,50206_3_17_6_1_102,38.818547,38.819047,-120.008184,-120.008584,2011,3.174486939
100,Abies concolor,50206_3_17_6_1_102,38.818547,38.818747,-120.008184,-120.008784,2011,3.548573461
101,Abies concolor,50206_3_17_6_1_102,38.818547,38.819047,-120.008184,-120.008284,2021,5.342051319
102,Abies concolor,50206_3_17_6_1_102,38.818547,38.819047,-120.008184,-120.008584,2021,5.722108559
103,Abies concolor,50206_3_17_6_1_103,38.818547,38.819447,-120.008184,-120.008584,2001,5.274715466
104,Abies concolor,50206_3_17_6_1_103,38.818547,38.819447,-120.008184,-120.008384,2001,5.526774947
105,Abies concolor,50206_3_17_6_1_103,38.818547,38.818847,-120.008184,-120.008584,2011,3.174554091
106,Abies concolor,50206_3_17_6_1_103,38.818547,38.818947,-120.008184,-120.009084,2011,3.548640613
107,Abies concolor,50206_3_17_6_1_103,38.818547,38.818647,-120.008184,-120.008784,2021,5.342143653
108,Abies concolor,50206_3_17_6_1_103,38.818547,38.819447,-120.008184,-120.008484,2021,5.722200893
109,Abies concolor,50206_3_17_6_1_104,38.818547,38.818647,-120.008184,-120.009184,2001,5.274660905
110,Abies concolor,50206_3_17_6_1_104,38.818547,38.818747,-120.008184,-120.008784,2001,5.526720386
111,Abies concolor,50206_3_17_6_1_104,38.818547,38.819347,-120.008184,-120.008784,2011,3.174507924
112,Abies concolor,50206_3_17_6_1_104,38.818547,38.819047,-120.008184,-120.009084,2011,3.548594446
113,Abies concolor,50206_3_17_6_1_104,38.818547,38.818647,-120.008184,-120.008284,2021,5.342072304
114,Abies concolor,50206_3_17_6_1_104,38.818547,38.818647,-120.008184,-120.008784,2021,5.722129544
115,Abies concolor,50206_3_17_6_1_105,38.818547,38.818747,-120.008184,-120.009184,2001,5.274853967
116,Abies concolor,50206_3_17_6_1_105,38.818547,38.819147,-120.008184,-120.008484,2001,5.526913448
117,Abies concolor,50206_3_17_6_1_105,38.818547,38.818947,-120.008184,-120.008584,2011,3.174730365
118,Abies concolor,50206_3_17_6_1_105,38.818547,38.819347,-120.008184,-120.008284,2011,3.548816887
119,Abies concolor,50206_3_17_6_1_105,38.818547,38.818747,-120.008184,-120.008884,2021,5.342349306
120,Abies concolor,50206_3_17_6_1_105,38.818547,38.818847,-120.008184,-120.009084,2021,5.722406546
121,Abies concolor,50206_3_17_6_1_106,38.818547,38.818947,-120.008184,-120.008284,2001,5.274828785
122,Abies concolor,50206_3_17_6_1_106,38.818547,38.819347,-120.008184,-120.008984,2001,5.526888266
123,Abies concolor,50206_3_17_6_1_106,38.818547,38.818647,-120.008184,-120.008584,2011,3.174671607
124,Abies concolor,50206_3_17_6_1_106,38.818547,38.818947,-120.008184,-120.009084,2011,3.548758129
125,Abies concolor,50206_3_17_6_1_106,38.818547,38.818647,-120.008184,-120.008484,2021,5.342252775
126,Abies concolor,50206_3_17_6_1_106,38.818547,38.819247,-120.008184,-120.008384,2021,5.722310015
127,Abies concolor,50206_3_17_6_1_107,38.818547,38.819047,-120.008184,-120.008284,2001,5.274895937
128,Abies concolor,50206_3_17_6_1_107,38.818547,38.818647,-120.008184,-120.008284,2001,5.526955418
129,Abies concolor,50206_3_17_6_1_107,38.818547,38.818847,-120.008184,-120.009084,2011,3.174759744
130,Abies concolor,50206_3_17_6_1_107,38.818547,38.818947,-120.008184,-120.008384,2011,3.548846266
131,Abies concolor,50206_3_17_6_1_107,38.818547,38.819047,-120.008184,-120.008784,2021,5.342370291
132,Abies concolor,50206_3_17_6_1_107,38.818547,38.818747,-120.008184,-120.008884,2021,5.722427531
133,Abies concolor,50206_3_17_6_1_108,38.818547,38.819247,-120.008184,-120.008284,2001,5.274757436
134,Abies concolor,50206_3_17_6_1_108,38.818547,38.818847,-120.008184,-120.009184,2001,5.526816917
135,Abies concolor,50206_3_17_6_1_108,38.818547,38.818847,-120.008184,-120.008384,2011,3.174612849
136,Abies concolor,50206_3_17_6_1_108,38.818547,38.819247,-120.008184,-120.009184,2011,3.548699371
137,Abies concolor,50206_3_17_6_1_108,38.818547,38.819347,-120.008184,-120.008684,2021,5.342215002
138,Abies concolor,50206_3_17_6_1_108,38.818547,38.819047,-120.008184,-120.008984,2021,5.722272242
139,Abies concolor,50206_3_17_6_1_109,38.818547,38.819447,-120.008184,-120.008784,2001,5.274614738
140,Abies concolor,50206_3_17_6_1_109,38.818547,38.819447,-120.008184,-120.009184,2001,5.526674219
141,Abies concolor,50206_3_17_6_1_109,38.818547,38.818847,-120.008184,-120.009084,2011,3.174449166
142,Abies concolor,50206_3_17_6_1_109,38.818547,38.818647,-120.008184,-120.008384,2011,3.548535688
143,Abies concolor,50206_3_17_6_1_109,38.818547,38.819447,-120.008184,-120.008284,2021,5.342017743
144,Abies concolor,50206_3_17_6_1_109,38.818547,38.819447,-120.008184,-120.008484,2021,5.722074983
145,Abies concolor,50206_3_17_6_1_110,38.818547,38.818947,-120.008184,-120.008284,2001,5.274887543
146,Abies concolor,50206_3_17_6_1_110,38.818547,38.819547,-120.008184,-120.008684,2001,5.526947024
147,Abies concolor,50206_3_17_6_1_110,38.818547,38.819347,-120.008184,-120.009184,2011,3.17475135
148,Abies concolor,50206_3_17_6_1_110,38.818547,38.819447,-120.008184,-120.008784,2011,3.548837872
149,Abies concolor,50206_3_17_6_1_110,38.818547,38.819347,-120.008184,-120.008684,2021,5.342361897
150,Abies concolor,50206_3_17_6_1_110,38.818547,38.818947,-120.008184,-120.008384,2021,5.722419137
151,Abies concolor,50206_3_17_6_1_112,38.818547,38.819547,-120.008184,-120.008484,2001,5.274774224
