Unnamed: 0,Species,TREE_ID,Year,logF_current,X,Y
1,Abies concolor,50120_2_89_6_1_100,2007,6.070814173,-121.582979,40.492307
2,Abies concolor,50120_2_89_6_1_100,2007,6.312659156,-121.582979,40.492307
3,Abies concolor,50120_2_89_6_1_100,2017,4.610472513,-121.582979,40.492307
4,Abies concolor,50120_2_89_6_1_100,2017,4.923079671,-121.582979,40.492307
5,Abies concolor,50139_5_51_6_1_504,2009,4.931748379,-119.243677,38.03017
6,Abies concolor,50139_5_51_6_1_504,2009,5.280799961,-119.243677,38.03017
7,Abies concolor,50139_5_51_6_1_504,2019,4.561083736,-119.243677,38.03017
8,Abies concolor,50139_5_51_6_1_504,2019,5.013246038,-119.243677,38.03017
9,Abies concolor,50139_5_51_6_1_505,2009,4.930896388,-119.243677,38.03017
10,Abies concolor,50139_5_51_6_1_505,2009,5.27994797,-119.243677,38.03017
11,Abies concolor,50139_5_51_6_1_505,2019,4.56016879,-119.243677,38.03017
12,Abies concolor,50139_5_51_6_1_505,2019,5.012331092,-119.243677,38.03017
13,Abies concolor,50139_5_51_6_2_522,2009,4.930610992,-119.243677,38.03017
14,Abies concolor,50139_5_51_6_2_522,2009,5.279662574,-119.243677,38.03017
15,Abies concolor,50139_5_51_6_2_522,2019,4.559883394,-119.243677,38.03017
16,Abies concolor,50139_5_51_6_2_522,2019,5.012045696,-119.243677,38.03017
17,Abies concolor,50139_5_51_6_2_526,2009,4.931895274,-119.243677,38.03017
18,Abies concolor,50139_5_51_6_2_526,2009,5.280946856,-119.243677,38.03017
19,Abies concolor,50139_5_51_6_2_526,2019,4.561205449,-119.243677,38.03017
20,Abies concolor,50139_5_51_6_2_526,2019,5.013367751,-119.243677,38.03017
21,Abies concolor,50139_5_51_6_2_527,2009,4.930480885,-119.243677,38.03017
22,Abies concolor,50139_5_51_6_2_527,2009,5.279532467,-119.243677,38.03017
23,Abies concolor,50139_5_51_6_2_527,2019,4.559753287,-119.243677,38.03017
24,Abies concolor,50139_5_51_6_2_527,2019,5.011915589,-119.243677,38.03017
25,Abies concolor,50139_5_51_6_3_555,2009,4.931735788,-119.243677,38.03017
26,Abies concolor,50139_5_51_6_3_555,2009,5.28078737,-119.243677,38.03017
27,Abies concolor,50139_5_51_6_3_555,2019,4.561062751,-119.243677,38.03017
28,Abies concolor,50139_5_51_6_3_555,2019,5.013225053,-119.243677,38.03017
29,Abies concolor,50139_5_51_6_3_557,2009,4.930434718,-119.243677,38.03017
30,Abies concolor,50139_5_51_6_3_557,2009,5.2794863,-119.243677,38.03017
31,Abies concolor,50139_5_51_6_3_557,2019,4.55979106,-119.243677,38.03017
32,Abies concolor,50139_5_51_6_3_557,2019,5.011953362,-119.243677,38.03017
33,Abies concolor,50139_5_51_6_4_570,2009,4.931907865,-119.243677,38.03017
34,Abies concolor,50139_5_51_6_4_570,2009,5.280959447,-119.243677,38.03017
35,Abies concolor,50139_5_51_6_4_570,2019,4.561239025,-119.243677,38.03017
36,Abies concolor,50139_5_51_6_4_570,2019,5.013401327,-119.243677,38.03017
37,Abies concolor,50139_5_51_6_4_571,2009,4.93083763,-119.243677,38.03017
38,Abies concolor,50139_5_51_6_4_571,2009,5.279889212,-119.243677,38.03017
39,Abies concolor,50139_5_51_6_4_571,2019,4.560177184,-119.243677,38.03017
40,Abies concolor,50139_5_51_6_4_571,2019,5.012339486,-119.243677,38.03017
41,Abies concolor,50139_5_51_6_4_572,2009,4.930732705,-119.243677,38.03017
