,Species,TREE_ID,X_orig,X,Year,logF_current,Y_orig,Y
1,Quercus agrifolia,50908_4_79_6_2_104,-120.2083333,-120.2153,2005,3.646409821,35.20833333,35.2143
1,Quercus agrifolia,50908_4_79_6_2_104,-120.2083333,-120.2123,2005,3.646409821,35.20833333,35.2163
2,Quercus agrifolia,50908_4_79_6_2_104,-120.2083333,-120.2153,2015,2.878178478,35.20833333,35.2143
2,Quercus agrifolia,50908_4_79_6_2_104,-120.2083333,-120.2123,2015,2.878178478,35.20833333,35.2163
3,Quercus agrifolia,50908_4_79_6_2_105,-120.2083333,-120.2173,2015,2.89776181,35.20833333,35.2103
4,Quercus agrifolia,50908_4_79_6_2_105,-120.2083333,-120.2173,2005,3.690752798,35.20833333,35.2103
5,Quercus agrifolia,50967_6_37_6_1_1,-118.25,-118.259,2020,1.742691295,34.20833333,34.2093
5,Quercus agrifolia,50967_6_37_6_1_1,-118.25,-118.255,2020,1.742691295,34.20833333,34.2123
6,Quercus agrifolia,50967_6_37_6_1_1,-118.25,-118.259,2010,2.154381601,34.20833333,34.2093
6,Quercus agrifolia,50967_6_37_6_1_1,-118.25,-118.255,2010,2.154381601,34.20833333,34.2123
7,Quercus agrifolia,50967_6_37_6_2_1,-118.25,-118.254,2020,1.516629295,34.20833333,34.2113
7,Quercus agrifolia,50967_6_37_6_2_1,-118.25,-118.25,2020,1.516629295,34.20833333,34.2173
8,Quercus agrifolia,50967_6_37_6_2_1,-118.25,-118.254,2010,1.852965601,34.20833333,34.2113
8,Quercus agrifolia,50967_6_37_6_2_1,-118.25,-118.25,2010,1.852965601,34.20833333,34.2173
9,Quercus agrifolia,50967_6_37_6_2_4,-118.25,-118.259,2010,1.622908823,34.20833333,34.2133
9,Quercus agrifolia,50967_6_37_6_2_4,-118.25,-118.254,2010,1.622908823,34.20833333,34.2143
9,Quercus agrifolia,50967_6_37_6_2_4,-118.25,-118.252,2010,1.622908823,34.20833333,34.2153
9,Quercus agrifolia,50967_6_37_6_2_4,-118.25,-118.25,2010,1.622908823,34.20833333,34.2163
10,Quercus agrifolia,50967_6_37_6_2_4,-118.25,-118.259,2010,1.990213339,34.20833333,34.2133
10,Quercus agrifolia,50967_6_37_6_2_4,-118.25,-118.254,2010,1.990213339,34.20833333,34.2143
10,Quercus agrifolia,50967_6_37_6_2_4,-118.25,-118.252,2010,1.990213339,34.20833333,34.2153
10,Quercus agrifolia,50967_6_37_6_2_4,-118.25,-118.25,2010,1.990213339,34.20833333,34.2163
11,Quercus agrifolia,50967_6_37_6_2_4,-118.25,-118.259,2020,1.622908823,34.20833333,34.2133
11,Quercus agrifolia,50967_6_37_6_2_4,-118.25,-118.254,2020,1.622908823,34.20833333,34.2143
11,Quercus agrifolia,50967_6_37_6_2_4,-118.25,-118.252,2020,1.622908823,34.20833333,34.2153
11,Quercus agrifolia,50967_6_37_6_2_4,-118.25,-118.25,2020,1.622908823,34.20833333,34.2163
12,Quercus agrifolia,50967_6_37_6_2_4,-118.25,-118.259,2020,1.990213339,34.20833333,34.2133
12,Quercus agrifolia,50967_6_37_6_2_4,-118.25,-118.254,2020,1.990213339,34.20833333,34.2143
12,Quercus agrifolia,50967_6_37_6_2_4,-118.25,-118.252,2020,1.990213339,34.20833333,34.2153
12,Quercus agrifolia,50967_6_37_6_2_4,-118.25,-118.25,2020,1.990213339,34.20833333,34.2163
13,Quercus agrifolia,50967_6_37_6_2_5,-118.25,-118.256,2010,2.417326435,34.20833333,34.2143
13,Quercus agrifolia,50967_6_37_6_2_5,-118.25,-118.253,2010,2.417326435,34.20833333,34.2093
14,Quercus agrifolia,50967_6_37_6_2_5,-118.25,-118.256,2020,2.171388781,34.20833333,34.2143
14,Quercus agrifolia,50967_6_37_6_2_5,-118.25,-118.253,2020,2.171388781,34.20833333,34.2093
15,Quercus agrifolia,50967_6_37_6_4_1,-118.25,-118.258,2020,1.893399295,34.20833333,34.2103
15,Quercus agrifolia,50967_6_37_6_4_1,-118.25,-118.256,2020,1.893399295,34.20833333,34.2153
16,Quercus agrifolia,50967_6_37_6_4_1,-118.25,-118.258,2010,2.365372801,34.20833333,34.2103
16,Quercus agrifolia,50967_6_37_6_4_1,-118.25,-118.256,2010,2.365372801,34.20833333,34.2153
17,Quercus agrifolia,50967_6_37_6_4_2,-118.25,-118.256,2010,1.608491677,34.20833333,34.2083
17,Quercus agrifolia,50967_6_37_6_4_2,-118.25,-118.255,2010,1.608491677,34.20833333,34.2173
18,Quercus agrifolia,50967_6_37_6_4_2,-118.25,-118.256,2020,1.207936067,34.20833333,34.2083
18,Quercus agrifolia,50967_6_37_6_4_2,-118.25,-118.255,2020,1.207936067,34.20833333,34.2173
19,Quercus agrifolia,50967_6_37_6_4_3,-118.25,-118.253,2010,2.057907216,34.20833333,34.2163
19,Quercus agrifolia,50967_6_37_6_4_3,-118.25,-118.252,2010,2.057907216,34.20833333,34.2153
20,Quercus agrifolia,50967_6_37_6_4_3,-118.25,-118.253,2020,1.638410114,34.20833333,34.2163
20,Quercus agrifolia,50967_6_37_6_4_3,-118.25,-118.252,2020,1.638410114,34.20833333,34.2153
21,Quercus agrifolia,50967_6_37_6_4_4,-118.25,-118.252,2010,2.103244339,34.20833333,34.2133
21,Quercus agrifolia,50967_6_37_6_4_4,-118.25,-118.251,2010,2.103244339,34.20833333,34.2083
22,Quercus agrifolia,50967_6_37_6_4_4,-118.25,-118.252,2020,1.743475223,34.20833333,34.2133
22,Quercus agrifolia,50967_6_37_6_4_4,-118.25,-118.251,2020,1.743475223,34.20833333,34.2083
23,Quercus agrifolia,50967_6_37_6_4_5,-118.25,-118.258,2010,1.904919235,34.20833333,34.2163
23,Quercus agrifolia,50967_6_37_6_4_5,-118.25,-118.257,2010,1.904919235,34.20833333,34.2103
24,Quercus agrifolia,50967_6_37_6_4_5,-118.25,-118.258,2020,1.613769181,34.20833333,34.2163
24,Quercus agrifolia,50967_6_37_6_4_5,-118.25,-118.257,2020,1.613769181,34.20833333,34.2103
25,Quercus agrifolia,50967_6_37_6_4_6,-118.25,-118.253,2010,2.848467423,34.20833333,34.2083
26,Quercus agrifolia,50967_6_37_6_4_6,-118.25,-118.253,2020,2.477030713,34.20833333,34.2083
