Unnamed: 0,Species,TREE_ID,X',Y',Year,logF_current,X,Y
1,Quercus agrifolia,50908_4_79_6_2_104,-120.2083333,35.20839,2005,3.646409821,-120.20833,35.20833
2,Quercus agrifolia,50908_4_79_6_2_104,-120.2084133,35.20835,2015,2.878178478,-120.20833,35.20833
3,Quercus agrifolia,50908_4_79_6_2_105,-120.2084133,35.20839,2015,2.89776181,-120.20833,35.20833
4,Quercus agrifolia,50908_4_79_6_2_105,-120.2083933,35.20836,2005,3.690752798,-120.20833,35.20833
5,Quercus agrifolia,50967_6_37_6_1_1,-118.25002,34.20833,2020,1.742691295,-118.25,34.20833
6,Quercus agrifolia,50967_6_37_6_1_1,-118.25,34.2084,2010,2.154381601,-118.25,34.20833
7,Quercus agrifolia,50967_6_37_6_2_1,-118.25001,34.20833,2020,1.516629295,-118.25,34.20833
8,Quercus agrifolia,50967_6_37_6_2_1,-118.25003,34.20842,2010,1.852965601,-118.25,34.20833
9,Quercus agrifolia,50967_6_37_6_2_4,-118.25002,34.20836,2010,1.622908823,-118.25,34.20833
10,Quercus agrifolia,50967_6_37_6_2_4,-118.25004,34.20833,2010,1.990213339,-118.25,34.20833
11,Quercus agrifolia,50967_6_37_6_2_4,-118.25009,34.20837,2020,1.622908823,-118.25,34.20833
12,Quercus agrifolia,50967_6_37_6_2_4,-118.25002,34.20839,2020,1.990213339,-118.25,34.20833
13,Quercus agrifolia,50967_6_37_6_2_5,-118.25006,34.2084,2010,2.417326435,-118.25,34.20833
14,Quercus agrifolia,50967_6_37_6_2_5,-118.25009,34.20834,2020,2.171388781,-118.25,34.20833
15,Quercus agrifolia,50967_6_37_6_4_1,-118.25003,34.2084,2020,1.893399295,-118.25,34.20833
16,Quercus agrifolia,50967_6_37_6_4_1,-118.25001,34.20841,2010,2.365372801,-118.25,34.20833
17,Quercus agrifolia,50967_6_37_6_4_2,-118.25009,34.20835,2010,1.608491677,-118.25,34.20833
18,Quercus agrifolia,50967_6_37_6_4_2,-118.25004,34.20842,2020,1.207936067,-118.25,34.20833
19,Quercus agrifolia,50967_6_37_6_4_3,-118.25008,34.20835,2010,2.057907216,-118.25,34.20833
20,Quercus agrifolia,50967_6_37_6_4_3,-118.25007,34.20833,2020,1.638410114,-118.25,34.20833
21,Quercus agrifolia,50967_6_37_6_4_4,-118.25004,34.2084,2010,2.103244339,-118.25,34.20833
22,Quercus agrifolia,50967_6_37_6_4_4,-118.25009,34.20842,2020,1.743475223,-118.25,34.20833
23,Quercus agrifolia,50967_6_37_6_4_5,-118.25001,34.20835,2010,1.904919235,-118.25,34.20833
24,Quercus agrifolia,50967_6_37_6_4_5,-118.25002,34.20841,2020,1.613769181,-118.25,34.20833
25,Quercus agrifolia,50967_6_37_6_4_6,-118.25008,34.20836,2010,2.848467423,-118.25,34.20833
26,Quercus agrifolia,50967_6_37_6_4_6,-118.25007,34.20836,2020,2.477030713,-118.25,34.20833
27,Quercus agrifolia,50967_6_37_6_4_7,-118.25004,34.20838,2020,1.265242124,-118.25,34.20833
28,Quercus agrifolia,50967_6_37_6_4_7,-118.25007,34.20835,2010,1.74288596,-118.25,34.20833
29,Quercus agrifolia,50967_6_37_6_4_8,-118.25002,34.20836,2020,2.100410009,-118.25,34.20833
30,Quercus agrifolia,50967_6_37_6_4_8,-118.25006,34.20835,2010,2.543167837,-118.25,34.20833
31,Quercus agrifolia,51233_1_97_6_3_116,-122.5417467,38.37508,2002,1.007253725,-122.54167,38.375
32,Quercus agrifolia,51233_1_97_6_3_116,-122.5416667,38.37501,2012,1.435099839,-122.54167,38.375
33,Quercus agrifolia,51233_1_97_6_3_117,-122.5417367,38.37504,2002,0.890156988,-122.54167,38.375
34,Quercus agrifolia,51233_1_97_6_3_117,-122.5417467,38.37507,2012,1.383492613,-122.54167,38.375
35,Quercus agrifolia,51326_1_45_6_3_7,-123.2083333,39.41669,2010,1.822447701,-123.20833,39.41667
36,Quercus agrifolia,51326_1_45_6_3_7,-123.2083733,39.41669,2020,1.318148165,-123.20833,39.41667
37,Quercus agrifolia,51431_4_79_6_1_1,-120.2916767,35.37507,2002,1.878260044,-120.29167,35.375
38,Quercus agrifolia,51431_4_79_6_1_1,-120.2916867,35.37509,2012,2.538168398,-120.29167,35.375
39,Quercus agrifolia,51557_6_73_6_1_100,-116.5833633,32.91674,2001,3.38694065,-116.58333,32.91667
40,Quercus agrifolia,51557_6_73_6_1_100,-116.5833433,32.91669,2011,3.140131808,-116.58333,32.91667
41,Quercus agrifolia,51557_6_73_6_1_100,-116.5833333,32.9167,2021,3.023600306,-116.58333,32.91667
42,Quercus agrifolia,51557_6_73_6_1_102,-116.5834133,32.9167,2001,3.284720011,-116.58333,32.91667
43,Quercus agrifolia,51557_6_73_6_1_102,-116.5834233,32.91675,2021,2.893668856,-116.58333,32.91667
44,Quercus agrifolia,51557_6_73_6_1_102,-116.5833833,32.91674,2021,3.094729408,-116.58333,32.91667
45,Quercus agrifolia,51557_6_73_6_1_102,-116.5833333,32.91674,2011,2.893668856,-116.58333,32.91667
46,Quercus agrifolia,51557_6_73_6_1_102,-116.5833633,32.91674,2011,3.094729408,-116.58333,32.91667
47,Quercus agrifolia,51557_6_73_6_1_103,-116.5833833,32.91674,2001,3.784436412,-116.58333,32.91667
48,Quercus agrifolia,51557_6_73_6_1_103,-116.5834133,32.91674,2011,3.589396817,-116.58333,32.91667
49,Quercus agrifolia,51557_6_73_6_1_103,-116.5834133,32.91668,2021,,-116.58333,32.91667
50,Quercus agrifolia,51557_6_73_6_2_106,-116.5833833,32.91675,2001,3.748110521,-116.58333,32.91667
51,Quercus agrifolia,51557_6_73_6_2_106,-116.5833433,32.91671,2021,3.687338911,-116.58333,32.91667
52,Quercus agrifolia,51557_6_73_6_2_106,-116.5833433,32.91671,2011,4.322337293,-116.58333,32.91667
53,Quercus agrifolia,51557_6_73_6_2_108,-116.5834133,32.91672,2001,3.243901753,-116.58333,32.91667
54,Quercus agrifolia,51557_6_73_6_2_108,-116.5833533,32.91669,2011,2.976982228,-116.58333,32.91667
55,Quercus agrifolia,51557_6_73_6_2_108,-116.5834133,32.91676,2021,2.842029365,-116.58333,32.91667
56,Quercus agrifolia,51773_3_113_6_1_104,-122.0834033,38.5417,2002,1.64272865,-122.08333,38.54167
57,Quercus agrifolia,51773_3_113_6_1_104,-122.0833333,38.54173,2012,2.050985747,-122.08333,38.54167
58,Quercus agrifolia,51773_3_113_6_1_105,-122.0833533,38.54174,2002,1.596932984,-122.08333,38.54167
59,Quercus agrifolia,51773_3_113_6_1_105,-122.0833533,38.54171,2012,2.026460479,-122.08333,38.54167
60,Quercus agrifolia,51773_3_113_6_1_106,-122.0833933,38.54168,2002,1.632909017,-122.08333,38.54167
61,Quercus agrifolia,51773_3_113_6_1_106,-122.0833533,38.54167,2012,2.026852934,-122.08333,38.54167
62,Quercus agrifolia,51773_3_113_6_1_108,-122.0833333,38.54169,2002,1.573770778,-122.08333,38.54167
63,Quercus agrifolia,51773_3_113_6_1_108,-122.0833633,38.54173,2012,1.950689689,-122.08333,38.54167
64,Quercus agrifolia,51773_3_113_6_3_117,-122.0833933,38.54169,2002,1.42279558,-122.08333,38.54167
65,Quercus agrifolia,51773_3_113_6_3_117,-122.0833733,38.54168,2012,1.936424958,-122.08333,38.54167
66,Quercus agrifolia,51773_3_113_6_3_118,-122.0833633,38.54171,2002,1.286302117,-122.08333,38.54167
67,Quercus agrifolia,51773_3_113_6_3_118,-122.0833933,38.54176,2012,1.764280947,-122.08333,38.54167
68,Quercus agrifolia,51820_4_79_6_3_112,-120.4583333,35.33334,2005,2.259619211,-120.45833,35.33333
69,Quercus agrifolia,51820_4_79_6_3_112,-120.4583533,35.33334,2015,1.462874461,-120.45833,35.33333
70,Quercus agrifolia,51820_4_79_6_3_113,-120.4583733,35.33334,2005,2.347152421,-120.45833,35.33333
71,Quercus agrifolia,51820_4_79_6_3_113,-120.4584133,35.33337,2015,1.587556341,-120.45833,35.33333
72,Quercus agrifolia,51820_4_79_6_4_115,-120.4583933,35.33338,2005,2.102021508,-120.45833,35.33333
73,Quercus agrifolia,51820_4_79_6_4_115,-120.4583533,35.33342,2015,1.342452837,-120.45833,35.33333
74,Quercus agrifolia,51820_4_79_6_4_116,-120.4583933,35.33333,2005,1.883293997,-120.45833,35.33333
75,Quercus agrifolia,51820_4_79_6_4_116,-120.4583433,35.33342,2015,1.104798509,-120.45833,35.33333
76,Quercus agrifolia,51820_4_79_6_4_117,-120.4584233,35.33334,2005,1.89903489,-120.45833,35.33333
77,Quercus agrifolia,51820_4_79_6_4_117,-120.4584133,35.33336,2015,1.070395161,-120.45833,35.33333
