,Species,TREE_ID,X_orig,X,Y_orig,Y,Year,logF_current
1,Pinus contorta,50041_5_43_6_1_102,-119.4166667,-119.4237,37.79166667,37.7967,2002,1.34400258
1,Pinus contorta,50041_5_43_6_1_102,-119.4166667,-119.4227,37.79166667,37.7967,2002,1.34400258
2,Pinus contorta,50041_5_43_6_1_102,-119.4166667,-119.4237,37.79166667,37.7967,2012,0.445340775
2,Pinus contorta,50041_5_43_6_1_102,-119.4166667,-119.4227,37.79166667,37.7967,2012,0.445340775
3,Pinus contorta,50041_5_43_6_2_106,-119.4166667,-119.4187,37.79166667,37.7937,2002,1.33128958
3,Pinus contorta,50041_5_43_6_2_106,-119.4166667,-119.4177,37.79166667,37.7927,2002,1.33128958
4,Pinus contorta,50041_5_43_6_2_106,-119.4166667,-119.4187,37.79166667,37.7937,2012,0.445340775
4,Pinus contorta,50041_5_43_6_2_106,-119.4166667,-119.4177,37.79166667,37.7927,2012,0.445340775
5,Pinus contorta,50041_5_43_6_3_111,-119.4166667,-119.4237,37.79166667,37.7957,2002,1.44570658
5,Pinus contorta,50041_5_43_6_3_111,-119.4166667,-119.4167,37.79166667,37.7927,2002,1.44570658
6,Pinus contorta,50041_5_43_6_3_111,-119.4166667,-119.4237,37.79166667,37.7957,2012,0.585183775
6,Pinus contorta,50041_5_43_6_3_111,-119.4166667,-119.4167,37.79166667,37.7927,2012,0.585183775
7,Pinus contorta,50336_5_3_6_3_314,-119.875,-119.879,38.83333333,38.8373,2007,4.156405287
7,Pinus contorta,50336_5_3_6_3_314,-119.875,-119.878,38.83333333,38.8343,2007,4.156405287
8,Pinus contorta,50336_5_3_6_3_314,-119.875,-119.879,38.83333333,38.8373,2017,4.131818078
8,Pinus contorta,50336_5_3_6_3_314,-119.875,-119.878,38.83333333,38.8343,2017,4.131818078
9,Pinus contorta,50336_5_3_6_3_315,-119.875,-119.878,38.83333333,38.8423,2007,2.211316287
9,Pinus contorta,50336_5_3_6_3_315,-119.875,-119.875,38.83333333,38.8423,2007,2.211316287
10,Pinus contorta,50336_5_3_6_3_315,-119.875,-119.878,38.83333333,38.8423,2017,2.174016078
10,Pinus contorta,50336_5_3_6_3_315,-119.875,-119.875,38.83333333,38.8423,2017,2.174016078
11,Pinus contorta,50379_5_107_6_1_100,-118.2916667,-118.2997,36.375,36.384,2002,2.401458535
11,Pinus contorta,50379_5_107_6_1_100,-118.2916667,-118.2957,36.375,36.379,2002,2.401458535
12,Pinus contorta,50379_5_107_6_1_100,-118.2916667,-118.2997,36.375,36.384,2012,0.927382509
12,Pinus contorta,50379_5_107_6_1_100,-118.2916667,-118.2957,36.375,36.379,2012,0.927382509
13,Pinus contorta,50379_5_107_6_1_101,-118.2916667,-118.2987,36.375,36.381,2002,2.948117535
13,Pinus contorta,50379_5_107_6_1_101,-118.2916667,-118.2917,36.375,36.381,2002,2.948117535
14,Pinus contorta,50379_5_107_6_1_101,-118.2916667,-118.2987,36.375,36.381,2012,1.512180509
14,Pinus contorta,50379_5_107_6_1_101,-118.2916667,-118.2917,36.375,36.381,2012,1.512180509
15,Pinus contorta,50379_5_107_6_1_104,-118.2916667,-118.3007,36.375,36.377,2002,3.774462535
15,Pinus contorta,50379_5_107_6_1_104,-118.2916667,-118.2957,36.375,36.376,2002,3.774462535
