Unnamed: 0,Species,TREE_ID,Year,logF_current,X,Y
1,Pinus contorta,50041_5_43_6_1_102,2002,1.34400258,-119.4166667,37.79166667
2,Pinus contorta,50041_5_43_6_1_102,2012,0.445340775,-119.4166667,37.79166667
3,Pinus contorta,50041_5_43_6_2_106,2002,1.33128958,-119.4166667,37.79166667
4,Pinus contorta,50041_5_43_6_2_106,2012,0.445340775,-119.4166667,37.79166667
5,Pinus contorta,50041_5_43_6_3_111,2002,1.44570658,-119.4166667,37.79166667
6,Pinus contorta,50041_5_43_6_3_111,2012,0.585183775,-119.4166667,37.79166667
7,Pinus contorta,50336_5_3_6_3_314,2007,4.156405287,-119.875,38.83333333
8,Pinus contorta,50336_5_3_6_3_314,2017,4.131818078,-119.875,38.83333333
9,Pinus contorta,50336_5_3_6_3_315,2007,2.211316287,-119.875,38.83333333
10,Pinus contorta,50336_5_3_6_3_315,2017,2.174016078,-119.875,38.83333333
11,Pinus contorta,50379_5_107_6_1_100,2002,2.401458535,-118.2916667,36.375
12,Pinus contorta,50379_5_107_6_1_100,2012,0.927382509,-118.2916667,36.375
13,Pinus contorta,50379_5_107_6_1_101,2002,2.948117535,-118.2916667,36.375
14,Pinus contorta,50379_5_107_6_1_101,2012,1.512180509,-118.2916667,36.375
15,Pinus contorta,50379_5_107_6_1_104,2002,3.774462535,-118.2916667,36.375
16,Pinus contorta,50379_5_107_6_1_104,2012,2.300386509,-118.2916667,36.375
17,Pinus contorta,50379_5_107_6_1_105,2002,5.643273535,-118.2916667,36.375
18,Pinus contorta,50379_5_107_6_1_105,2012,4.156484509,-118.2916667,36.375
19,Pinus contorta,50379_5_107_6_1_106,2012,3.088592509,-118.2916667,36.375
20,Pinus contorta,50379_5_107_6_1_106,2002,4.702511535,-118.2916667,36.375
21,Pinus contorta,50379_5_107_6_2_127,2002,1.778521535,-118.2916667,36.375
22,Pinus contorta,50379_5_107_6_2_127,2012,0.317158509,-118.2916667,36.375
23,Pinus contorta,50379_5_107_6_2_128,2002,2.592153535,-118.2916667,36.375
24,Pinus contorta,50379_5_107_6_2_128,2012,1.156216509,-118.2916667,36.375
25,Pinus contorta,50379_5_107_6_2_129,2002,5.160179535,-118.2916667,36.375
26,Pinus contorta,50379_5_107_6_2_129,2012,3.736955509,-118.2916667,36.375
27,Pinus contorta,50379_5_107_6_2_130,2002,3.380359535,-118.2916667,36.375
28,Pinus contorta,50379_5_107_6_2_130,2012,1.906283509,-118.2916667,36.375
29,Pinus contorta,50379_5_107_6_2_131,2002,3.049821535,-118.2916667,36.375
30,Pinus contorta,50379_5_107_6_2_131,2012,1.588458509,-118.2916667,36.375
31,Pinus contorta,50379_5_107_6_2_133,2012,4.931977509,-118.2916667,36.375
32,Pinus contorta,50379_5_107_6_2_133,2002,6.520470535,-118.2916667,36.375
33,Pinus contorta,50379_5_107_6_2_136,2002,3.583767535,-118.2916667,36.375
34,Pinus contorta,50379_5_107_6_2_136,2012,2.198682509,-118.2916667,36.375
35,Pinus contorta,50379_5_107_6_3_108,2002,5.439865535,-118.2916667,36.375
36,Pinus contorta,50379_5_107_6_3_108,2012,3.940363509,-118.2916667,36.375
37,Pinus contorta,50379_5_107_6_3_110,2002,7.067129535,-118.2916667,36.375
38,Pinus contorta,50379_5_107_6_3_110,2012,5.554914509,-118.2916667,36.375
39,Pinus contorta,50379_5_107_6_3_113,2002,4.702511535,-118.2916667,36.375
40,Pinus contorta,50379_5_107_6_3_113,2012,3.228435509,-118.2916667,36.375
41,Pinus contorta,50379_5_107_6_3_114,2002,4.613520535,-118.2916667,36.375
42,Pinus contorta,50379_5_107_6_3_114,2012,3.190296509,-118.2916667,36.375
43,Pinus contorta,50379_5_107_6_3_116,2002,4.766076535,-118.2916667,36.375
44,Pinus contorta,50379_5_107_6_3_116,2012,3.330139509,-118.2916667,36.375
45,Pinus contorta,50379_5_107_6_3_117,2002,6.024663535,-118.2916667,36.375
46,Pinus contorta,50379_5_107_6_3_117,2012,4.563300509,-118.2916667,36.375
47,Pinus contorta,50379_5_107_6_4_118,2002,5.732264535,-118.2916667,36.375
48,Pinus contorta,50379_5_107_6_4_118,2012,4.270901509,-118.2916667,36.375
49,Pinus contorta,50379_5_107_6_4_120,2002,5.783116535,-118.2916667,36.375
50,Pinus contorta,50379_5_107_6_4_120,2012,4.321753509,-118.2916667,36.375
51,Pinus contorta,50379_5_107_6_4_122,2002,5.350874535,-118.2916667,36.375
52,Pinus contorta,50379_5_107_6_4_122,2012,3.965789509,-118.2916667,36.375
53,Pinus contorta,50379_5_107_6_4_126,2002,5.541569535,-118.2916667,36.375
54,Pinus contorta,50379_5_107_6_4_126,2012,4.131058509,-118.2916667,36.375
55,Pinus contorta,50463_3_63_6_1_100,2015,4.684855497,-121.4166667,40.0
56,Pinus contorta,50463_3_63_6_1_100,2005,3.343483183,-121.4166667,40.0
57,Pinus contorta,50463_3_63_6_1_105,2005,0.343215183,-121.4166667,40.0
58,Pinus contorta,50463_3_63_6_1_105,2015,2.040551497,-121.4166667,40.0
59,Pinus contorta,50463_3_63_6_1_106,2005,0.127094183,-121.4166667,40.0
